type,name,size,i,time,verification
sorting,nativo,16384,11,0.004466,1
sorting,nativo,16384,12,0.004521,1
sorting,nativo,16384,13,0.004483,1
sorting,nativo,16384,14,0.004512,1
sorting,nativo,16384,15,0.004475,1
sorting,nativo,16384,16,0.004528,1
sorting,nativo,16384,17,0.004524,1
sorting,nativo,16384,18,0.004527,1
sorting,nativo,16384,19,0.004493,1
sorting,nativo,16384,20,0.003287,1
sorting,nativo,16384,21,0.003299,1
sorting,nativo,16384,22,0.003422,1
sorting,nativo,16384,23,0.003305,1
sorting,nativo,16384,24,0.003305,1
sorting,nativo,16384,25,0.003296,1
sorting,nativo,16384,26,0.003275,1
sorting,nativo,16384,27,0.003298,1
sorting,nativo,16384,28,0.003308,1
sorting,nativo,16384,29,0.003482,1
sorting,nativo,16384,30,0.002067,1
sorting,nativo,16384,31,0.002059,1
sorting,nativo,16384,32,0.002390,1
sorting,nativo,16384,33,0.002065,1
sorting,nativo,16384,34,0.002062,1
sorting,nativo,16384,35,0.002394,1
sorting,nativo,16384,36,0.002065,1
sorting,nativo,16384,37,0.002060,1
sorting,nativo,16384,38,0.002266,1
sorting,nativo,16384,39,0.002064,1
sorting,nativo,32768,0,0.012122,1
sorting,nativo,32768,1,0.011875,1
sorting,nativo,32768,2,0.011896,1
sorting,nativo,32768,3,0.012050,1
sorting,nativo,32768,4,0.012188,1
sorting,nativo,32768,5,0.011919,1
sorting,nativo,32768,6,0.011829,1
sorting,nativo,32768,7,0.011742,1
sorting,nativo,32768,8,0.012185,1
sorting,nativo,32768,9,0.012322,1
sorting,nativo,32768,10,0.010140,1
sorting,nativo,32768,11,0.010113,1
sorting,nativo,32768,12,0.010303,1
sorting,nativo,32768,13,0.010407,1
sorting,nativo,32768,14,0.010218,1
sorting,nativo,32768,15,0.010194,1
sorting,nativo,32768,16,0.010150,1
sorting,nativo,32768,17,0.010229,1
sorting,nativo,32768,18,0.010443,1
sorting,nativo,32768,19,0.010648,1
